state,trend_direction,trend_slope,trend_mean,seasonal_amplitude,resid_std
Andaman & Nicobar Islands,increasing,0.05809736016205227,4.778420547099657,3.4475468352222904,25.92271562797339
Andaman And Nicobar Islands,increasing,0.26993749897929076,25.31512264289473,29.555555667989545,290.39888826159137
Andhra Pradesh,increasing,68.40432781153648,5064.495269395273,6126.561127855238,61795.088167874484
Arunachal Pradesh,increasing,0.9975354837412905,88.94779249197306,123.08705563432541,1020.1038529402618
Assam,increasing,20.31824563362557,1700.8813685236798,1782.1553048250858,12816.62014026993
Bihar,increasing,54.788220238052,5419.374118403453,4837.867588071025,82749.05240617754
Chandigarh,increasing,0.64129586809067,17.205669263126747,181.00739834124803,1953.2660248680895
Chhatisgarh,increasing,0.00022745593830994406,0.016314758474753766,0.11232444847647075,0.0006220490407958219
Chhattisgarh,increasing,49.613426099480016,3707.347221226748,3999.569557862574,37781.88526585123
Dadra & Nagar Haveli,increasing,0.008861273381993127,0.8246632208641552,0.9873445491892878,10.398133407389244
Dadra And Nagar Haveli,increasing,0.20155971263614592,64.50094060654503,371.38345967020973,519.1327580741766
Dadra And Nagar Haveli And Daman And Diu,increasing,0.014777100508942851,1.2385927540346182,3.3587633695075514,52.61942546604953
Daman & Diu,increasing,0.040408255034916137,2.9368734021697436,5.531343793101468,36.29283218849639
Daman And Diu,increasing,0.10187634510262593,8.134296095530127,13.85187853634063,106.65485458035543
Delhi,increasing,13.776971437776478,1192.7592010346152,983.2553152305206,24541.592178456198
Goa,increasing,0.7509304173033572,94.595492017553,339.2026126758735,987.8687786761972
Gujarat,increasing,28.405683120098434,2342.2664685237282,3209.80693389913,56677.16536543963
Haryana,increasing,24.64401241931878,2024.9003016080308,2059.7300996156005,26276.084276787846
Himachal Pradesh,increasing,5.114238726549527,578.7989795498083,1394.4278782193803,5602.91876984664
Jammu & Kashmir,increasing,0.016278468843621927,1.3308927717725978,1.5243317973120114,0.040211688422617776
Jammu And Kashmir,increasing,10.643515909553345,723.2589151452697,1175.9579535374596,11525.236530837668
Jharkhand,increasing,20.564394443838584,1400.5055655276615,1822.4120504487053,36630.27853200543
Karnataka,increasing,29.689715511162138,2652.1545607705934,4221.045057446055,42538.02704879482
Kerala,increasing,24.069464804687865,2355.7140051110314,2292.7871744190293,27147.02833084761
Ladakh,increasing,0.05409128533644777,4.613096908300251,6.245633222830805,95.59936062274497
Lakshadweep,increasing,0.004319999305152429,9.115883507553667,24.732218304981735,70.32593985237679
Madhya Pradesh,increasing,68.95054925303549,7235.797604206695,10175.204267655698,106800.05814384989
Maharashtra,increasing,171.1661547907131,13874.62040459928,12244.326967056084,128450.27288665644
Manipur,increasing,5.173922408751462,403.92644437906586,326.91719486709246,5262.729129698953
Meghalaya,decreasing,-0.3341385250555977,145.05253370749122,818.0880654635422,1216.4693922062359
Mizoram,increasing,0.35243721812139067,69.09674444444408,193.71652509714465,3325.0416089473647
Nagaland,increasing,1.212755430518683,192.04665614784224,662.0112693839689,1645.7782783470095
Odisha,increasing,30.64738285596717,2673.570917582846,3830.986837474176,38773.966550387566
Orissa,increasing,1.1628830848543403,100.02439459667258,110.37084677381945,851.329000779738
Pondicherry,increasing,0.4173536008804232,54.441423727111356,87.23055653838993,289.31098749145906
Puducherry,increasing,0.7634719831022613,71.89852892216584,56.41916251241474,541.8027093899718
Punjab,increasing,20.319083271553392,2929.4961460728136,7945.32571006794,27875.861046935872
Rajasthan,increasing,54.86144267181221,4546.853881956235,4534.473016787311,57816.88937340727
Sikkim,increasing,0.22945437944417932,20.379458221367283,29.941250108236733,444.13573719419526
Tamil Nadu,increasing,80.65695923060801,6035.247934095042,6512.222297934793,70428.48190308864
Tamilnadu,increasing,6.258548471002774e-05,0.0032204342866380535,0.052127828904674094,1.5877886101671302e-14
Telangana,increasing,33.44076184026044,2484.524339592282,4761.129202032249,24085.117990658335
Tripura,decreasing,-0.8492760084761207,444.98998199427507,272.82086803890655,4111.416501885546
Uttar Pradesh,increasing,134.27424315671942,17732.942193845483,67162.57686587468,124400.36453433931
Uttarakhand,increasing,12.757755670308205,1058.3876410737314,2503.369399558704,9264.25514651949
Uttaranchal,increasing,7.232998318474394e-05,0.006448503212741627,0.07337171295646111,0.0005614440747392933
West  Bengal,increasing,0.0009174468000661738,0.07820812304366855,0.2670077093893723,0.003959904410475989
West Bangal,increasing,0.001880189207104354,0.19208625771674012,0.4090254439223995,0.14068671115373085
West Bengal,increasing,19.497720094941332,5041.843596275094,20547.695089710935,34368.50732330699
Westbengal,increasing,0.0012325343968823826,0.10037613034243292,0.3095939113750542,0.012432055888065513
